startDate,Treatment,Reach,Stream,Trt_Reach,repNum,lengthInit_mm,biomassInit_mg,numSurv,lengthFin_mm,biomassFin_mg,delBiomass_per
6/22/2018,1,Carapa Upstream,Carapa,Unbuffered,1,2.25,0.011524925,4,2.925,0.024509067,112.6613943
6/22/2018,1,Carapa Upstream,Carapa,Unbuffered,2,2.433333333,0.01394817,3,3.133333333,0.028554235,104.7167083
6/22/2018,1,Carapa Upstream,Carapa,Unbuffered,3,2.516666667,0.014734858,0,NA,NA,NA
6/22/2018,1,Carapa Upstream,Carapa,Unbuffered,4,2.2,0.010719861,3,2.8,0.02573895,140.1052444
6/22/2018,1,Carapa Upstream,Carapa,Unbuffered,5,2.766666667,0.023522985,3,2.933333333,0.02299606,-2.240042457
7/8/2018,1,Carapa Upstream,Carapa,Unbuffered,26,2.733333333,0.018197204,6,2.983333333,0.023007882,26.43635698
7/8/2018,1,Carapa Upstream,Carapa,Unbuffered,27,2.983333333,0.023113805,2,3.45,0.034307096,48.42686518
7/16/2018,1,Carapa Upstream,Carapa,Unbuffered,37,3.8,0.043074857,3,4.366666667,0.061644583,43.11036213
7/16/2018,1,Carapa Upstream,Carapa,Unbuffered,38,3.283333333,0.030182603,3,3.5,0.038012992,25.94338345
7/16/2018,1,Carapa Upstream,Carapa,Unbuffered,39,3.416666667,0.03310855,3,3.233333333,0.02749275,-16.96178022
7/16/2018,3,Carapa Downstream,Carapa,Buffered,41,2.7,0.018419081,2,3.1,0.024652423,33.84175844
7/16/2018,3,Carapa Downstream,Carapa,Buffered,42,3.566666667,0.041577862,5,3,0.027543906,-33.75343421
7/17/2018,3,Carapa Downstream,Carapa,Buffered,43,2.3,0.011695667,5,2.62,0.015818806,35.25356393
7/17/2018,3,Carapa Downstream,Carapa,Buffered,44,2.166666667,0.01029035,4,2.225,0.011096529,7.834325905
7/17/2018,3,Carapa Downstream,Carapa,Buffered,45,3.266666667,0.030354364,4,4.325,0.066317093,118.4763046
7/17/2018,3,Carapa Downstream,Carapa,Buffered,46,3.183333333,0.028999019,4,3.4,0.039881711,37.52779415
7/17/2018,3,Carapa Downstream,Carapa,Buffered,47,2.2,0.00982908,6,3.333333333,0.037438499,280.8952706
7/17/2018,3,Carapa Downstream,Carapa,Buffered,48,2.583333333,0.017186206,5,2.98,0.024639273,43.36656344
6/26/2018,5,ArbSeep Upstream,ArbSeep,Unbuffered,7,3.483333333,0.036359849,3,3.4,0.033602652,-7.583081579
6/26/2018,5,ArbSeep Upstream,ArbSeep,Unbuffered,8,2.116666667,0.00936119,4,2.425,0.013298917,42.0643743
6/26/2018,5,ArbSeep Upstream,ArbSeep,Unbuffered,9,1.933333333,0.007398951,6,2.616666667,0.017098961,131.0997864
7/7/2018,5,ArbSeep Upstream,ArbSeep,Unbuffered,21,3.05,0.025811506,2,3.25,0.02783401,7.835666654
7/11/2018,5,ArbSeep Upstream,ArbSeep,Unbuffered,31,3.416666667,0.034635111,4,3.375,0.032714767,-5.544502723
7/11/2018,5,ArbSeep Upstream,ArbSeep,Unbuffered,33,3.083333333,0.025649146,6,4.333333333,0.065312324,154.6374173
8/5/2018,5,ArbSeep Upstream,ArbSeep,Unbuffered,79,3.05,0.024744257,2,2.7,0.017112827,-30.84121763
6/26/2018,7,ArbSeep Downstream,ArbSeep,Buffered,10,2.866666667,0.0210039,5,3.52,0.048856657,132.6075533
7/7/2018,7,ArbSeep Downstream,ArbSeep,Buffered,22,2.916666667,0.022927179,4,3.5,0.041139603,79.4359547
7/7/2018,7,ArbSeep Downstream,ArbSeep,Buffered,23,2.8,0.0212401,3,2.8,0.018875017,-11.13499225
7/7/2018,7,ArbSeep Downstream,ArbSeep,Buffered,24,2.866666667,0.023188029,0,NA,NA,NA
7/11/2018,7,ArbSeep Downstream,ArbSeep,Buffered,34,3.083333333,0.02931669,1,5,0.087260552,197.6480331
7/11/2018,7,ArbSeep Downstream,ArbSeep,Buffered,35,3.266666667,0.031386889,3,4.4,0.065031447,107.193033
7/11/2018,7,ArbSeep Downstream,ArbSeep,Buffered,36,3.25,0.030760266,1,7.2,0.230462685,649.2220081
8/5/2018,7,ArbSeep Downstream,ArbSeep,Buffered,82,4.816666667,0.081387673,3,5.766666667,0.156124039,91.82762463
8/5/2018,7,ArbSeep Downstream,ArbSeep,Buffered,83,3.366666667,0.03092676,2,4.45,0.06542585,111.5509345
8/5/2018,7,ArbSeep Downstream,ArbSeep,Buffered,84,2.733333333,0.018053585,5,2.38,0.012458774,-30.99002926
8/5/2018,7,ArbSeep Downstream,ArbSeep,Buffered,85,3.633333333,0.042151154,4,3.325,0.032857362,-22.04872537
8/5/2018,7,ArbSeep Downstream,ArbSeep,Buffered,86,3.4,0.03677817,3,5.3,0.141657997,285.1686886
8/5/2018,7,ArbSeep Downstream,ArbSeep,Buffered,88,3.6,0.041154644,3,6.2,0.197887711,380.8393215
8/5/2018,7,ArbSeep Downstream,ArbSeep,Buffered,90,4.183333333,0.062892158,3,4.666666667,0.088841065,41.25936902
